participant_id,video_id,video_sequence,duration_min,labelled_actions,unique_verb_classes,unique_noun_classes,actions_per_min,suggested_use
P01,P01_01,1,27.536,329,24,37,11.948,cut_into_sessions
P01,P01_02,2,8.369,145,16,27,17.326,direct_session
P01,P01_05,5,21.200,259,25,44,12.217,cut_into_sessions
P01,P01_06,6,8.204,119,17,22,14.506,direct_session
P01,P01_09,9,59.518,881,37,59,14.802,cut_into_sessions
P01,P01_11,11,9.359,148,16,23,15.814,direct_session
P01,P01_14,14,22.543,354,28,47,15.703,cut_into_sessions
P01,P01_15,15,15.416,291,19,29,18.877,cut_into_sessions
P01,P01_17,17,19.219,287,22,39,14.933,cut_into_sessions
P01,P01_18,18,61.545,689,33,49,11.195,cut_into_sessions
P01,P01_19,19,7.966,137,16,22,17.197,direct_session
P01,P01_102,102,4.582,127,14,22,27.717,direct_session
P01,P01_104,104,4.094,93,15,12,22.716,direct_session
P01,P01_105,105,35.339,790,33,57,22.355,cut_into_sessions
P01,P01_106,106,12.056,247,23,27,20.487,cut_into_sessions
P01,P01_109,109,61.801,918,38,47,14.854,cut_into_sessions
P02,P02_01,1,3.883,87,14,20,22.405,short_support_session
P02,P02_02,2,3.451,89,15,16,25.792,short_support_session
P02,P02_03,3,20.870,362,33,45,17.346,cut_into_sessions
P02,P02_04,4,7.040,168,17,29,23.864,direct_session
P02,P02_06,6,17.259,371,26,51,21.496,cut_into_sessions
P02,P02_09,9,36.664,573,39,57,15.628,cut_into_sessions
P02,P02_12,12,21.922,371,25,31,16.923,cut_into_sessions
P02,P02_101,101,4.062,111,20,21,27.326,direct_session
P02,P02_102,102,3.785,110,11,22,29.065,short_support_session
P02,P02_104,104,9.453,182,27,37,19.253,direct_session
P02,P02_105,105,6.840,199,21,30,29.095,direct_session
P02,P02_108,108,21.527,451,36,48,20.950,cut_into_sessions
P02,P02_109,109,15.210,187,29,30,12.295,cut_into_sessions
P02,P02_112,112,19.710,317,21,24,16.083,cut_into_sessions
P02,P02_113,113,7.478,184,19,28,24.604,direct_session
P02,P02_118,118,12.941,290,24,39,22.409,cut_into_sessions
P02,P02_120,120,12.307,221,27,43,17.957,cut_into_sessions
P02,P02_121,121,6.552,99,27,14,15.110,direct_session
P02,P02_122,122,12.788,214,28,40,16.734,cut_into_sessions
P02,P02_123,123,23.306,473,34,53,20.295,cut_into_sessions
P02,P02_124,124,3.864,93,16,26,24.068,short_support_session
P02,P02_129,129,18.556,494,39,57,26.623,cut_into_sessions
P02,P02_130,130,18.058,331,35,38,18.330,cut_into_sessions
P02,P02_131,131,11.248,273,25,31,24.270,direct_session
P02,P02_132,132,3.785,89,16,18,23.516,short_support_session
P02,P02_135,135,4.353,116,22,23,26.648,direct_session
P03,P03_02,2,7.110,137,17,21,19.268,direct_session
P03,P03_04,4,27.846,361,27,49,12.964,cut_into_sessions
P03,P03_05,5,3.739,66,15,16,17.653,short_support_session
P03,P03_09,9,10.434,180,17,33,17.251,direct_session
P03,P03_14,14,4.335,43,11,14,9.920,low_priority
P03,P03_16,16,4.528,39,15,12,8.613,low_priority
P03,P03_19,19,9.172,168,17,28,18.316,direct_session
P03,P03_20,20,6.010,74,16,18,12.312,direct_session
P03,P03_23,23,8.494,125,23,25,14.716,direct_session
P03,P03_24,24,13.696,136,19,31,9.930,cut_into_sessions
P03,P03_101,101,14.216,351,30,45,24.690,cut_into_sessions
P03,P03_107,107,4.241,109,20,21,25.699,direct_session
P03,P03_109,109,18.901,411,30,45,21.745,cut_into_sessions
P03,P03_112,112,8.466,171,29,40,20.198,direct_session
P03,P03_117,117,12.048,259,23,34,21.498,cut_into_sessions
P03,P03_119,119,11.206,211,19,31,18.829,direct_session
P03,P03_120,120,13.578,256,30,37,18.854,cut_into_sessions
P03,P03_121,121,6.472,68,16,16,10.506,direct_session
P03,P03_123,123,5.319,98,20,20,18.425,direct_session
P04,P04_01,1,19.246,262,35,41,13.613,cut_into_sessions
P04,P04_02,2,23.960,329,28,41,13.731,cut_into_sessions
P04,P04_03,3,13.364,218,27,42,16.313,cut_into_sessions
P04,P04_04,4,14.302,152,21,30,10.628,cut_into_sessions
P04,P04_05,5,34.478,309,31,48,8.962,cut_into_sessions
P04,P04_06,6,13.138,117,24,32,8.906,short_support_session
P04,P04_09,9,6.856,35,8,17,5.105,low_priority
P04,P04_10,10,19.029,106,18,29,5.570,short_support_session
P04,P04_11,11,4.023,25,12,9,6.215,low_priority
P04,P04_13,13,5.238,41,15,18,7.828,low_priority
P04,P04_16,16,3.617,43,15,16,11.888,low_priority
P04,P04_21,21,3.286,24,9,13,7.304,low_priority
P04,P04_23,23,16.644,93,19,26,5.588,short_support_session
P04,P04_24,24,8.368,64,19,24,7.649,direct_session
P04,P04_25,25,6.359,27,12,13,4.246,low_priority
P04,P04_29,29,7.090,61,18,31,8.603,direct_session
P04,P04_30,30,5.212,50,11,20,9.594,low_priority
P04,P04_31,31,13.758,113,25,41,8.214,short_support_session
P04,P04_33,33,3.068,21,10,11,6.844,low_priority
P04,P04_101,101,9.158,241,32,33,26.316,direct_session
P04,P04_104,104,11.412,294,30,41,25.763,direct_session
P04,P04_106,106,4.222,115,28,20,27.240,direct_session
P04,P04_107,107,24.729,940,44,31,38.013,cut_into_sessions
P04,P04_109,109,16.342,538,46,50,32.921,cut_into_sessions
P04,P04_110,110,12.039,401,37,47,33.307,cut_into_sessions
P04,P04_112,112,8.187,257,32,30,31.391,direct_session
P04,P04_113,113,19.708,517,45,61,26.233,cut_into_sessions
P04,P04_115,115,4.305,133,26,29,30.894,direct_session
P04,P04_116,116,9.561,223,31,31,23.325,direct_session
P04,P04_117,117,5.585,168,28,13,30.082,direct_session
P04,P04_119,119,14.184,288,43,42,20.305,cut_into_sessions
P04,P04_120,120,13.910,376,39,38,27.030,cut_into_sessions
P04,P04_121,121,28.220,717,51,51,25.407,cut_into_sessions
P06,P06_03,3,11.434,128,18,20,11.194,direct_session
P06,P06_05,5,24.071,224,25,34,9.306,cut_into_sessions
P06,P06_07,7,17.699,256,26,38,14.464,cut_into_sessions
P06,P06_09,9,22.413,178,20,23,7.942,cut_into_sessions
P06,P06_10,10,4.050,60,15,17,14.816,direct_session
P06,P06_12,12,3.232,30,11,9,9.281,low_priority
P06,P06_13,13,4.006,63,13,15,15.726,direct_session
P06,P06_101,101,30.985,422,29,46,13.619,cut_into_sessions
P06,P06_102,102,12.220,129,24,27,10.556,cut_into_sessions
P06,P06_103,103,13.994,177,21,30,12.648,cut_into_sessions
P06,P06_107,107,4.855,64,19,21,13.183,direct_session
P06,P06_108,108,12.145,171,31,36,14.080,cut_into_sessions
P06,P06_113,113,5.156,122,19,26,23.663,direct_session
P07,P07_03,3,4.379,31,11,10,7.080,low_priority
P07,P07_04,4,13.753,154,22,32,11.197,cut_into_sessions
P07,P07_05,5,3.493,34,7,8,9.735,low_priority
P07,P07_07,7,5.524,53,11,15,9.595,low_priority
P07,P07_09,9,5.664,46,14,8,8.122,low_priority
P07,P07_10,10,34.340,330,27,40,9.610,cut_into_sessions
P07,P07_11,11,3.721,28,10,11,7.525,low_priority
P07,P07_12,12,3.934,43,8,9,10.931,low_priority
P07,P07_14,14,4.283,43,11,14,10.039,low_priority
P07,P07_101,101,8.018,81,14,22,10.102,direct_session
P07,P07_102,102,3.420,60,8,14,17.544,short_support_session
P07,P07_110,110,4.338,85,16,27,19.596,direct_session
P07,P07_113,113,8.740,171,23,33,19.564,direct_session
P07,P07_114,114,3.081,44,12,13,14.283,low_priority
P07,P07_115,115,3.540,66,17,27,18.644,short_support_session
P07,P07_117,117,6.230,131,18,26,21.026,direct_session
P08,P08_01,1,10.257,156,19,40,15.208,direct_session
P08,P08_04,4,3.420,66,10,17,19.296,short_support_session
P08,P08_05,5,29.229,371,35,65,12.693,cut_into_sessions
P08,P08_06,6,8.111,122,17,35,15.042,direct_session
P08,P08_09,9,10.341,147,26,36,14.215,direct_session
P08,P08_10,10,4.040,63,15,22,15.592,direct_session
P08,P08_11,11,3.257,51,15,15,15.657,low_priority
P08,P08_15,15,9.389,133,23,34,14.166,direct_session
P08,P08_16,16,9.819,120,26,34,12.222,direct_session
P08,P08_17,17,9.768,120,23,33,12.285,direct_session
P08,P08_18,18,8.327,113,17,31,13.570,direct_session
P08,P08_20,20,3.458,40,11,13,11.568,low_priority
P08,P08_21,21,23.446,341,32,60,14.544,cut_into_sessions
P08,P08_23,23,25.513,294,23,43,11.523,cut_into_sessions
P08,P08_24,24,9.563,117,20,32,12.234,direct_session
P08,P08_26,26,6.821,103,13,32,15.101,direct_session
P08,P08_27,27,3.102,41,13,19,13.216,low_priority
P11,P11_01,1,3.027,76,9,14,25.108,short_support_session
P11,P11_04,4,4.813,118,14,12,24.519,direct_session
P11,P11_05,5,30.357,412,30,43,13.572,cut_into_sessions
P11,P11_09,9,5.787,42,13,18,7.258,low_priority
P11,P11_15,15,8.176,109,21,27,13.331,direct_session
P11,P11_16,16,5.898,86,19,26,14.582,direct_session
P11,P11_17,17,8.691,147,21,20,16.914,direct_session
P11,P11_20,20,9.326,195,25,35,20.909,direct_session
P11,P11_22,22,3.921,73,14,20,18.618,short_support_session
P11,P11_101,101,3.068,41,14,11,13.364,low_priority
P11,P11_102,102,5.725,80,17,20,13.973,direct_session
P11,P11_103,103,3.781,74,17,22,19.572,short_support_session
P11,P11_104,104,14.362,199,25,37,13.856,cut_into_sessions
P11,P11_105,105,5.561,84,14,18,15.105,direct_session
P11,P11_109,109,3.563,120,12,18,33.679,short_support_session
P12,P12_01,1,6.862,67,13,22,9.764,direct_session
P12,P12_02,2,30.899,190,23,41,6.149,cut_into_sessions
P12,P12_03,3,24.431,111,24,30,4.543,short_support_session
P12,P12_04,4,31.871,113,21,28,3.546,short_support_session
P12,P12_07,7,13.076,37,12,21,2.830,low_priority
P12,P12_08,8,3.705,26,11,15,7.017,low_priority
P12,P12_101,101,34.098,501,27,43,14.693,cut_into_sessions
P12,P12_103,103,10.682,137,21,25,12.825,direct_session
P12,P12_104,104,18.947,292,23,41,15.412,cut_into_sessions
P12,P12_105,105,5.327,72,13,8,13.516,direct_session
P22,P22_01,1,18.188,350,24,44,19.243,cut_into_sessions
P22,P22_02,2,8.479,217,19,31,25.593,direct_session
P22,P22_03,3,19.800,484,23,38,24.445,cut_into_sessions
P22,P22_04,4,6.485,179,17,27,27.604,direct_session
P22,P22_05,5,20.601,492,27,52,23.882,cut_into_sessions
P22,P22_06,6,7.410,189,16,30,25.505,direct_session
P22,P22_07,7,36.344,742,26,65,20.416,cut_into_sessions
P22,P22_08,8,15.353,385,23,44,25.077,cut_into_sessions
P22,P22_09,9,7.114,191,17,35,26.849,direct_session
P22,P22_10,10,16.029,429,23,41,26.764,cut_into_sessions
P22,P22_11,11,7.117,196,19,32,27.540,direct_session
P22,P22_12,12,11.426,289,22,36,25.294,direct_session
P22,P22_13,13,8.340,246,18,30,29.495,direct_session
P22,P22_14,14,11.724,291,19,37,24.820,direct_session
P22,P22_15,15,10.150,280,17,39,27.586,direct_session
P22,P22_16,16,24.361,528,22,60,21.674,cut_into_sessions
P22,P22_17,17,21.732,560,21,49,25.769,cut_into_sessions
P22,P22_101,101,6.115,164,17,23,26.821,direct_session
P22,P22_102,102,3.836,139,16,15,36.236,short_support_session
P22,P22_103,103,13.231,400,18,37,30.233,cut_into_sessions
P22,P22_104,104,10.522,196,14,32,18.627,direct_session
P22,P22_106,106,8.529,312,20,37,36.581,direct_session
P22,P22_107,107,9.684,242,19,32,24.991,direct_session
P22,P22_108,108,3.620,105,14,17,29.008,short_support_session
P22,P22_109,109,33.480,817,25,41,24.403,cut_into_sessions
P22,P22_110,110,6.756,212,13,28,31.381,direct_session
P22,P22_111,111,25.800,672,24,47,26.046,cut_into_sessions
P22,P22_112,112,6.570,172,17,31,26.178,direct_session
P22,P22_113,113,11.372,327,22,46,28.755,direct_session
P22,P22_115,115,8.235,247,17,31,29.993,direct_session
P22,P22_116,116,8.269,223,17,30,26.968,direct_session
P22,P22_117,117,16.197,439,24,43,27.104,cut_into_sessions
P25,P25_02,2,4.227,33,8,13,7.807,low_priority
P25,P25_03,3,3.028,15,9,7,4.954,low_priority
P25,P25_04,4,9.904,65,10,16,6.563,direct_session
P25,P25_05,5,24.862,152,14,27,6.114,cut_into_sessions
P25,P25_06,6,3.455,34,10,16,9.841,low_priority
P25,P25_07,7,4.588,41,11,16,8.937,low_priority
P25,P25_09,9,14.605,119,17,25,8.148,short_support_session
P25,P25_10,10,6.244,39,10,12,6.246,low_priority
P25,P25_11,11,6.306,56,11,17,8.880,low_priority
P25,P25_101,101,7.264,127,17,17,17.483,direct_session
P25,P25_102,102,8.296,132,11,22,15.911,direct_session
P25,P25_103,103,8.257,112,17,20,13.564,direct_session
P25,P25_104,104,13.502,263,14,24,19.479,cut_into_sessions
P25,P25_106,106,26.997,301,17,32,11.149,cut_into_sessions
P25,P25_107,107,36.883,510,19,18,13.828,cut_into_sessions
P26,P26_02,2,7.745,94,16,17,12.137,direct_session
P26,P26_03,3,5.208,58,7,12,11.136,low_priority
P26,P26_18,18,7.469,45,7,11,6.025,low_priority
P26,P26_19,19,7.866,91,8,18,11.568,direct_session
P26,P26_21,21,7.758,89,15,23,11.472,direct_session
P26,P26_36,36,3.498,39,11,13,11.149,low_priority
P26,P26_102,102,3.033,35,8,11,11.541,low_priority
P26,P26_103,103,9.991,157,12,13,15.714,direct_session
P26,P26_104,104,11.500,171,19,27,14.869,direct_session
P26,P26_105,105,8.169,171,13,28,20.932,direct_session
P26,P26_108,108,3.262,36,9,10,11.036,low_priority
P26,P26_110,110,4.412,86,13,18,19.491,direct_session
P26,P26_112,112,6.625,125,9,15,18.868,direct_session
P26,P26_115,115,3.440,67,9,21,19.475,short_support_session
P26,P26_116,116,3.338,67,10,19,20.074,short_support_session
P26,P26_117,117,11.874,132,10,17,11.116,direct_session
P26,P26_118,118,6.903,97,9,15,14.053,direct_session
P26,P26_119,119,11.578,147,13,24,12.696,direct_session
P26,P26_124,124,12.904,216,14,32,16.739,cut_into_sessions
P28,P28_01,1,5.650,90,11,21,15.928,direct_session
P28,P28_02,2,8.439,156,10,20,18.485,direct_session
P28,P28_03,3,13.042,154,14,24,11.808,cut_into_sessions
P28,P28_04,4,7.552,90,12,17,11.918,direct_session
P28,P28_05,5,8.729,76,10,17,8.706,direct_session
P28,P28_06,6,12.400,150,21,31,12.097,cut_into_sessions
P28,P28_08,8,5.615,86,8,14,15.317,direct_session
P28,P28_09,9,8.318,131,16,22,15.749,direct_session
P28,P28_11,11,5.471,57,12,15,10.419,low_priority
P28,P28_14,14,4.648,85,12,23,18.286,direct_session
P28,P28_16,16,5.223,57,9,9,10.913,low_priority
P28,P28_25,25,6.615,133,10,10,20.107,direct_session
P28,P28_101,101,11.962,120,15,23,10.032,direct_session
P28,P28_102,102,6.943,59,12,13,8.498,low_priority
P28,P28_103,103,30.419,295,21,41,9.698,cut_into_sessions
P28,P28_104,104,11.989,207,18,34,17.266,direct_session
P28,P28_105,105,9.529,120,15,19,12.593,direct_session
P28,P28_106,106,3.298,46,10,21,13.948,low_priority
P28,P28_108,108,6.888,67,14,18,9.727,direct_session
P28,P28_109,109,3.601,56,10,17,15.553,low_priority
P28,P28_111,111,12.735,236,19,32,18.532,cut_into_sessions
P28,P28_112,112,5.959,118,13,16,19.801,direct_session
P28,P28_113,113,8.964,150,13,33,16.734,direct_session
P30,P30_02,2,3.962,45,8,18,11.358,low_priority
P30,P30_03,3,8.687,146,22,35,16.807,direct_session
P30,P30_04,4,11.834,174,16,21,14.703,direct_session
P30,P30_05,5,54.367,749,37,62,13.777,cut_into_sessions
P30,P30_06,6,6.689,144,17,34,21.527,direct_session
P30,P30_07,7,5.091,106,19,29,20.823,direct_session
P30,P30_08,8,18.702,331,23,41,17.698,cut_into_sessions
P30,P30_09,9,7.229,170,19,30,23.517,direct_session
P30,P30_10,10,13.209,254,21,36,19.229,cut_into_sessions
P30,P30_11,11,5.744,113,14,24,19.674,direct_session
P30,P30_101,101,10.477,284,26,31,27.106,direct_session
P30,P30_103,103,3.073,86,16,21,27.989,short_support_session
P30,P30_104,104,5.292,140,18,25,26.453,direct_session
P30,P30_107,107,49.903,926,41,67,18.556,cut_into_sessions
P30,P30_108,108,9.588,219,22,31,22.840,direct_session
P30,P30_109,109,6.969,197,22,43,28.267,direct_session
P30,P30_110,110,4.335,123,20,28,28.374,direct_session
P30,P30_111,111,30.671,635,44,66,20.704,cut_into_sessions
P30,P30_113,113,6.111,144,17,28,23.565,direct_session
P35,P35_101,101,6.471,94,13,19,14.526,direct_session
P35,P35_103,103,25.208,240,21,39,9.521,cut_into_sessions
P35,P35_104,104,55.841,781,23,47,13.986,cut_into_sessions
P35,P35_105,105,35.804,430,23,39,12.010,cut_into_sessions
P35,P35_107,107,27.341,344,16,36,12.582,cut_into_sessions
P35,P35_108,108,50.251,660,16,42,13.134,cut_into_sessions
P35,P35_109,109,18.825,283,17,35,15.033,cut_into_sessions
